timestamp,story_id,story_title,output_file,background_file,music_file
2025-03-11 13:16:13,1,,20250311_131157_story_1_.mp4,ai ugc 5.mp4,showreel-music-promo-advertising-opener-vlog-background-intro-theme-261601.mp3
2025-03-11 15:59:06,1,,20250311_155159_story_1_.mp4,5698962-uhd_2160_3840_24fps.mp4,Charlie - Pretending.mp3
2025-03-11 16:37:39,1,I matched my boyfriend's energy in our LDR and now he's mad that I communicate like him 😏,20250311_163146_StoryGen_s1_iMatchedMy_pexels stock negative_instrumental mellow.mp4,6382078-uhd_2160_3840_24fps.mp4,Charlie - Pretending.mp3
2025-03-11 17:47:04,1,"My bf (26M) and I (25F) fight constantly over his lack of communication, so I finally stopped caring...now he's upset that I'm not trying anymore",20250311_173935_s1_myBf26mAndI_pexels stock negative mixed solo_instrumental mellow.mp4,6382082-uhd_2160_3840_24fps.mp4,Charlie - Pretending.mp3
2025-03-11 18:34:43,1,My boyfriend suddenly hates that I matched his energy,20250311_182801_s1_myBoyfriendSuddenlyHatesThat_pexels stock negative mixed solo_instrumental mellow.mp4,7277922-uhd_2160_3840_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 19:19:42,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_191510_s1_myLdrBoyfriendSuddenlyHates_pexels stock negative f solo_instrumental mellow.mp4,7214654-hd_720_1280_25fps.mp4,lilacs - slowed.mp3
2025-03-11 20:24:54,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_201457_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7277930-uhd_2160_3840_25fps.mp4,lilacs - slowed.mp3
2025-03-11 20:32:11,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_203020_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689149-hd_1080_1920_25fps.mp4,adrianne lenker - mostly chimes.mp3
2025-03-11 20:34:56,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_203303_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689156-hd_1080_1920_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 20:46:16,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_204422_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689313-hd_1080_1920_25fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-11 20:48:50,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_204710_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689156-hd_1080_1920_25fps.mp4,lilacs - slowed.mp3
2025-03-11 20:51:50,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_204945_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,4613094-uhd_2160_4096_25fps.mp4,paul alan morris - little sparrow.mp3
2025-03-11 21:01:19,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_205911_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,8558448-uhd_2160_3840_24fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-11 21:09:35,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_210748_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7214654-hd_720_1280_25fps.mp4,Charlie - Pretending.mp3
2025-03-11 21:13:56,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_211151_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7279746-uhd_2160_3840_25fps.mp4,lilacs - slowed.mp3
2025-03-11 21:19:46,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_211744_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,8487738-uhd_2160_4096_25fps.mp4,paul alan morris - little sparrow.mp3
2025-03-11 21:24:27,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_212259_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689156-hd_1080_1920_25fps.mp4,lilacs - slowed.mp3
2025-03-11 21:56:53,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_215438_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,8558448-uhd_2160_3840_24fps.mp4,Charlie - Pretending.mp3
2025-03-11 22:34:18,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_223152_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6381035-uhd_2160_3840_24fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 22:39:59,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_223731_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,4613094-uhd_2160_4096_25fps.mp4,paul alan morris - little sparrow.mp3
2025-03-11 22:45:27,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_224256_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6382082-uhd_2160_3840_24fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-11 22:48:47,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_224643_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689671-hd_1080_1920_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 22:54:10,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_225209_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7214654-hd_720_1280_25fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-11 23:06:06,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_230333_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6653842-uhd_2160_3840_25fps.mp4,paul alan morris - little sparrow.mp3
2025-03-11 23:16:40,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_231408_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7279746-uhd_2160_3840_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 23:22:33,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_231958_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,5981349-uhd_2160_4096_25fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-11 23:29:43,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_232706_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,5981349-uhd_2160_4096_25fps.mp4,lilacs - slowed.mp3
2025-03-11 23:34:37,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_233156_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6381035-uhd_2160_3840_24fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 23:36:22,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_233410_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6689149-hd_1080_1920_25fps.mp4,Charlie - Pretending.mp3
2025-03-11 23:41:03,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_233851_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,7214652-hd_720_1280_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-11 23:45:49,1,My LDR boyfriend suddenly hates that I matched his energy,20250311_234320_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,4733690-uhd_2160_3840_25fps.mp4,paul alan morris - little sparrow.mp3
2025-03-12 00:06:42,1,My LDR boyfriend suddenly hates that I matched his energy,20250312_000408_s1_myLdrBoyfriendSuddenlyHates_px_negative_f_solo_instrumental_mellow.mp4,6716513-uhd_2160_4096_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
2025-03-12 00:51:32,3,"My LDR boyfriend barely texts, says ""we already know what each other is doing"" - should I give up?",20250312_004347_s3_myLdrBoyfriendBarelyTexts_px_negative_f_solo_instrumental_mellow.mp4,8487738-uhd_2160_4096_25fps.mp4,Little Things - Immaterial - Adrian Berenguer.mp3
2025-03-12 01:41:40,1,My bf never updates me so I stopped messaging him... now he's mad,20250312_013331_s1_myBfNeverUpdatesMe_px_negative_f_solo_instrumental_mellow.mp4,7214654-hd_720_1280_25fps.mp4,i dont like mirrors - i miss your warm hands.mp3
